state,inci,pop
Alabama,100309,126080851.0
Alaska,3522,1814059.0
Arizona,118003,202671901.0
Arkansas,59664,64125490.0
California,695616,1633806889.0
Colorado,86925,150368325.0
Connecticut,78260,96874573.0
Delaware,14846,7524825.0
District of Columbia,3847,1437951.0
Florida,503475,981035162.0
Georgia,201425,320519790.0
Hawaii,17468,8775901.0
Idaho,25906,24858588.0
Illinois,279602,484045354.0
Indiana,140101,225146474.0
Iowa,69534,86150687.0
Kansas,53296,61616427.0
Kentucky,107669,144438712.0
Louisiana,94199,108580155.0
Maine,29614,27012985.0
Maryland,115418,145335858.0
Massachusetts,144659,230007555.0
Michigan,222229,384680494.0
Minnesota,114234,173510516.0
Mississippi,55556,47574792.0
Missouri,133309,201529528.0
Montana,16501,11436788.0
Nebraska,32053,30620171.0
Nevada,38969,44015415.0
New Hampshire,27215,24067401.0
New Jersey,202536,298904719.0
New Mexico,28040,29447738.0
New York,469612,820309688.0
North Carolina,220124,350671136.0
North Dakota,8655,4272026.0
Ohio,272582,489168290.0
Oklahoma,67255,85090734.0
Oregon,80670,114934035.0
Pennsylvania,330624,570351506.0
Rhode Island,17219,11788545.0
South Carolina,103989,128628493.0
South Dakota,11354,6049762.0
Tennessee,144725,218080071.0
Texas,453358,1173538985.0
Utah,34467,42261864.0
Vermont,9267,5342966.0
Virginia,154171,251358108.0
Washington,139655,226950024.0
West Virginia,42112,42134833.0
Wisconsin,129729,201205689.0
Wyoming,5133,2594904.0
